hour,solar_cf,price
478,0,15.4
479,0,17.2
480,0,19
481,0,20.4
482,0,21.1
483,0,19.7
484,0,18.1
485,0,17
486,0,14.4
487,0.002233044,13.1
488,0.134417908,13.2
489,0.305335118,13
490,0.444957742,13.1
491,0.709993719,13.3
492,0.702606921,13.2
493,0.70814356,13.2
494,0.734378976,13.4
495,0.607785218,13.7
496,0.416270034,14.4
497,0.345170778,15.3
498,0.107276968,16.7
499,0.000715679,16.2
500,0,14.6
501,0,14.8
502,0,15.1
503,0,16.7
504,0,18.8
505,0,19.8
506,0,19.9
507,0,19.1
508,0,19
509,0,17.9
510,0,15
511,0.0021833,13.4
512,0.084751119,13.7
513,0.237311222,13.5
514,0.46928903,13.7
515,0.556897108,14.4
516,0.558763431,15.2
517,0.694207518,15.5
518,0.650632436,16.4
519,0.565111314,17.1
520,0.437087929,17.7
521,0.313527038,18
522,0.116774157,19.2
523,0.001720149,19.5
524,0,17.1
525,0,16.5
526,0,16.7
527,0,18.1
528,0,21
529,0,22.7
530,0,22.4
531,0,21.6
532,0,20
533,0,18.7
534,0,17.5
535,0.002757577,16.1
536,0.075594214,15.2
537,0.187237956,14.9
538,0.324976961,15.5
539,0.517560472,16.3
540,0.501255336,17.2
541,0.789307939,18
542,0.706800621,19
543,0.657091378,20.2
544,0.477942169,21.9
545,0.289226991,23.6
546,0.080210842,24.2
547,0.00126153,19.2
548,0,20.4
549,0,19.7
550,0,20.6
551,0,23.5
552,0,26.4
553,0,29.5
554,0,30.6
555,0,29.9
556,0,28.9
557,0,26.5
558,0,23
559,0.003619207,20.8
560,0.08529152,17.9
561,0.205410572,15.2
562,0.293622231,15.1
563,0.434626607,15.1
564,0.556551392,15.5
565,0.442785305,15.8
566,0.590198099,16.9
567,0.542851741,18.1
568,0.436884739,19.6
569,0.311648012,20.7
570,0.135222726,21.1
571,0.00069911,15.6
572,0,17.8
573,0,18.1
574,0,19.1
575,0,21.3
576,0,21.1
577,0,27
578,0,28.7
579,0,26.7
580,0,24.2
581,0,20.9
582,0,17
583,0.006196332,14.9
584,0.094648169,14.4
585,0.335052912,14
586,0.376331162,13.5
587,0.615557266,13.3
588,0.645114096,13.5
589,0.833378266,13.5
590,0.77391191,13.6
591,0.709923924,14.1
592,0.562011972,14.7
593,0.352896571,15.5
594,0.137448249,16.6
595,0.000871875,16.4
596,0,14.7
597,0,14.7
598,0,14.8
599,0,16.3
600,0,18.2
601,0,19.4
602,0,19.7
603,0,18.5
604,0,17.7
605,0,16.7
606,0,14.3
607,0.001755398,13
608,0.115603184,13.3
609,0.334839579,13.4
610,0.50203923,14.1
611,0.661939745,15
612,0.68162368,15.9
613,0.828575057,16.6
614,0.71676743,17.4
615,0.71455797,18.1
616,0.556408825,18.4
617,0.360133157,19.1
618,0.088499128,19.9
619,0.001203998,20.2
620,0,17.7
621,0,17.2
622,0,17.5
623,0,19.4
624,0,21.6
625,0,22.5
626,0,22.4
627,0,22
628,0,20.4
629,0,18.3
630,0,15.5
631,0.001805421,14.8
632,0.083224686,15.4
633,0.303811122,15.8
634,0.352925424,16.5
635,0.52045519,17
636,0.561998052,17.9
637,0.554580151,19.4
638,0.596732936,21.4
639,0.594239686,21.7
640,0.423608671,22.6
641,0.262915988,24.1
642,0.130184093,23.9
643,0.000646992,22.5
644,0,20.2
645,0,20.5
646,0,21.2
647,0,23.6
648,0,26.6
649,0,28.8
650,0,29.1
651,0,28.6
652,0,26.7
653,0,21
654,0,19.8
655,0.002241391,17.6
656,0.10587044,16.8
657,0.30939354,16.1
658,0.500756571,14.9
659,0.645258213,14.5
660,0.734397664,13.9
661,0.782024958,13.4
662,0.712275827,14
663,0.646502904,14.4
664,0.533443713,15
665,0.321105788,15.9
666,0.101577099,17.4
667,0.00221286,17
668,0,15.3
669,0,15.5
670,0,16
671,0,17.7
672,0,19.7
673,0,21.3
674,0,21.9
675,0,20.9
676,0,20.6
677,0,20.3
678,0,18.2
679,0.001267667,16.9
680,0.082629849,18.1
681,0.265038529,18.3
682,0.443552685,18.7
683,0.728547756,18.9
684,0.670279853,19.4
685,0.765255582,20.5
686,0.664647668,22.6
687,0.619575781,23.3
688,0.546509389,23.6
689,0.360811904,25.1
690,0.124242426,26.7
691,0.00107444,20.5
692,0,22.3
693,0,22.6
694,0,23.8
695,0,24.9
696,0,26.6
697,0,26.8
698,0,36.5
699,0,36.9
700,0,36
701,0,33.1
702,0,27.9
703,0.001770669,24
704,0.137946828,20.6
705,0.307095312,18
706,0.469291764,16.6
707,0.550518345,16
708,0.762012645,15.5
709,0.691651334,15.5
710,0.740745252,15.2
711,0.641989047,15.3
712,0.515262255,16.1
713,0.333554715,16.7
714,0.127772759,17.2
715,0.002168689,17.9
716,0,16.1
717,0,15.4
718,0,15.9
719,0,16.9
720,0,19.2
721,0,20.6
722,0,21.3
723,0,20.8
724,0,20.4
725,0,19.7
726,0,18.2
727,0.001250897,17.6
728,0.047046641,15.8
729,0.202742343,14.5
730,0.25765511,14.4
731,0.345482468,14.6
732,0.469618174,14.9
733,0.655557795,15.1
734,0.614451358,15.1
735,0.692711175,15.2
736,0.486191699,15.1
737,0.29456033,15.5
738,0.109912545,16.2
739,0.00174752,14.9
740,0,12.2
741,0,12.8
742,0,13.2
743,0,15.5
744,0,18.6
745,0,21.4
746,0,22.7
747,0,23.1
748,0,22.1
749,0,20.9
750,0,17.8
751,0.003652395,16.3
752,0.107858192,17.3
753,0.245567268,16.9
754,0.195709078,17.6
755,0.477792849,18.2
756,0.590037883,19.1
757,0.668025603,19.7
758,0.705789412,22.4
759,0.61994768,23.3
760,0.518943561,24
761,0.367682147,24.4
762,0.14011413,24.9
763,0.001694771,21
764,0,20.8
765,0,21.2
766,0,22.5
767,0,23.2
768,0,24.7
769,0,30
770,0,34.2
771,0,32.6
772,0,30
773,0,26.8
774,0,21.2
775,0.001722468,18.5
776,0.145427199,18.5
777,0.228968359,18.8
