"PVWatts Hourly PV Performance Data"
"Requested Location","Kenya"
"Location","LAMU/MANDA ISLAND, KENYA"
"Latitude (DD)","-2.27"
"Longitude (DD)","40.83"
"Elevation (m)","6"
"DC System Size (kW)","1100"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","2.27"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"2","26","8","74","221","29.3","3.1","0.13","256.843","34.404","226640.364","214249.676"
"2","26","9","432","268","29.2","3.3","0.13","570.367","40.171","500617.528","478518.74"
"2","26","10","588","251","29.1","3.5","0.13","755.095","43.156","652663.839","625177.445"
"2","26","11","638","306","29","3.8","0.13","915.402","45.258","779488.581","747508.282"
"2","26","12","752","230","28.9","4","0.13","973.576","45.702","828273.039","794564.114"
"2","26","13","832","209","28.9","4.2","0.13","1003.167","45.74","855027.167","820370.236"
"2","26","14","768","189","28.8","4.4","0.13","846.223","42.636","735397.675","704979.692"
"2","26","15","733","127","28.7","4.7","0.13","639.101","38.767","570123.138","545561.489"
"2","26","16","627","152","28.6","4.9","0.13","461.394","35.694","417594.514","398437.561"
"2","26","17","297","84","28.5","5.1","0.13","159.538","30.838","131463.948","122445.738"
"2","26","18","49","11","27.8","4.6","0.13","12.829","27.955","5250.403","704.442"
"2","26","19","0","0","27.2","4.1","0.13","0","27.2","0","0"
"2","26","20","0","0","26.5","3.6","0.13","0","26.5","0","0"
"2","26","21","0","0","26.3","2.6","0.13","0","26.3","0","0"
"2","26","22","0","0","26","1.5","0.13","0","26","0","0"
"2","26","23","0","0","25.8","0.5","0.13","0","25.8","0","0"
"2","27","0","0","0","25.8","0.7","0.13","0","25.8","0","0"
"2","27","1","0","0","25.7","0.8","0.13","0","25.7","0","0"
"2","27","2","0","0","25.7","1","0.13","0","25.7","0","0"
"2","27","3","0","0","25.4","0.7","0.13","0","25.4","0","0"
"2","27","4","0","0","25.2","0.3","0.13","0","25.2","0","0"
"2","27","5","0","0","24.9","0","0.13","0","24.9","0","0"
"2","27","6","30","12","25.7","0.3","0.13","13.153","26.087","5844.599","1277.583"
"2","27","7","403","74","26.5","0.7","0.13","178.259","32.248","144702.937","135215.618"
"2","27","8","331","191","27.2","1","0.13","355.142","38.046","314727.811","299215.835"
"2","27","9","632","149","28","1.4","0.13","592.696","44.424","515318.61","492698.904"
"2","27","10","720","214","28.8","1.7","0.13","832.232","50.315","699863.183","670704.329"
"2","27","11","762","232","29.6","2.1","0.13","961.086","52.446","796242.198","763668.253"
"2","27","12","596","295","30.3","2.4","0.13","884.719","50.123","737462.255","706971.117"
"2","27","13","790","179","31.1","2.8","0.13","933.837","50.602","781394.837","749346.992"
"2","27","14","646","203","31.9","3.1","0.13","756.325","46.92","645158.429","617937.982"
"2","27","15","764","125","30.6","3.3","0.13","658.886","43.308","577316.695","552500.151"
"2","27","16","687","98","29.2","3.4","0.13","436.983","37.515","393418.117","375117.83"
"2","27","17","488","63","27.9","3.6","0.13","187.257","31.245","150444.617","140753.847"
"2","27","18","49","12","26.6","3.8","0.13","14.216","26.795","5998.34","1425.876"
"2","27","19","0","0","26.7","3.5","0.13","0","26.7","0","0"
"2","27","20","0","0","26.7","3.2","0.13","0","26.7","0","0"
"2","27","21","0","0","26.8","2.8","0.13","0","26.8","0","0"
"2","27","22","0","0","26.8","2.5","0.13","0","26.8","0","0"
"2","27","23","0","0","26.9","2.2","0.13","0","26.9","0","0"
"2","28","0","0","0","26.2","1.9","0.13","0","26.2","0","0"
"2","28","1","0","0","25.5","1.6","0.13","0","25.5","0","0"
"2","28","2","0","0","24.9","1.3","0.13","0","24.9","0","0"
"2","28","3","0","0","24.2","0.9","0.13","0","24.2","0","0"
"2","28","4","0","0","23.3","0.6","0.13","0","23.3","0","0"
"2","28","5","0","0","22.5","0.3","0.13","0","22.5","0","0"
"2","28","6","10","15","24.1","0","0.13","15.536","24.622","7526.884","2900.257"
"2","28","7","309","69","25.6","0","0.13","149.252","31.567","121612.661","112943.522"
"2","28","8","319","129","27.2","0","0.13","287.986","38.987","253439.764","240099.467"
"2","28","9","694","197","28.4","0.8","0.13","684.971","50.418","580615.89","555682.441"
"2","28","10","385","406","29.6","1.5","0.13","736.31","49.435","615330.164","589166.651"
"2","28","11","633","230","30.8","2.3","0.13","836.479","49.919","700611.426","671426.059"
"2","28","12","736","298","30.4","3.1","0.13","1026.961","50.753","853158.923","818568.192"
"2","28","13","746","239","30","3.8","0.13","952.481","46.93","807363.102","774395.099"
"2","28","14","456","339","29.6","4.6","0.13","729.453","41.183","632703.738","605924.61"
"2","28","15","521","179","29.1","4.4","0.13","543.248","37.996","483213.957","461731.847"
"2","28","16","406","208","28.7","4.3","0.13","407.687","35.478","366490.323","349144.195"
"2","28","17","364","87","28.2","4.1","0.13","179.306","31.195","147140.402","137566.713"
"2","28","18","7","17","27.6","3.9","0.13","17.316","27.852","8376.422","3719.693"
"2","28","19","0","0","27","3.4","0.13","0","27","0","0"
"2","28","20","0","0","26.4","2.9","0.13","0","26.4","0","0"
"2","28","21","0","0","26.7","2.5","0.13","0","26.7","0","0"
"2","28","22","0","0","27","2.2","0.13","0","27","0","0"
"2","28","23","0","0","27.3","1.8","0.13","0","27.3","0","0"
"3","1","0","0","0","27.6","1.4","0.12","0","27.6","0","0"
"3","1","1","0","0","27.9","1","0.12","0","27.9","0","0"
"3","1","2","0","0","28.2","0.7","0.12","0","28.2","0","0"
"3","1","3","0","0","28.5","0.3","0.12","0","28.5","0","0"
"3","1","4","0","0","28.6","0.2","0.12","0","28.6","0","0"
"3","1","5","0","0","28.6","0.1","0.12","0","28.6","0","0"
"3","1","6","34","16","28.7","0","0.12","17.621","29.275","7933.832","3292.786"
"3","1","7","159","90","29.3","0.3","0.12","131.22","34.108","108663.526","100453.226"
"3","1","8","551","114","30","1.5","0.12","389.297","40.573","344857.323","328277.738"
"3","1","9","373","281","30.7","2.7","0.12","543.131","42.253","471517.931","450450.257"
"3","1","10","347","280","31.3","3.9","0.12","578.777","41.428","500395.599","478304.675"
"3","1","11","477","345","32","5.1","0.12","802.305","43.934","685279.484","656637.389"
"3","1","12","762","253","31.4","4.8","0.12","1008.548","47.004","852415.425","817851.039"
"3","1","13","373","410","30.9","4.5","0.12","766.437","43.208","654350.658","626804.494"
"3","1","14","659","199","30.3","4.3","0.12","764.027","42.96","662578.156","634740.458"
"3","1","15","632","222","29.8","4","0.12","663.704","41.294","583414.177","558381.574"
"3","1","16","460","187","29.2","3.7","0.12","413.539","36.7","370646.381","353152.987"
"3","1","17","182","94","28.7","3.4","0.12","139.881","31.315","116867.127","108366.141"
"3","1","18","34","14","28.1","3.2","0.12","15.412","28.339","6831.124","2229.151"
"3","1","19","0","0","27.6","2.9","0.12","0","27.6","0","0"
"3","1","20","0","0","27","2.6","0.12","0","27","0","0"
"3","1","21","0","0","26.9","2.4","0.12","0","26.9","0","0"
"3","1","22","0","0","26.8","2.1","0.12","0","26.8","0","0"
"3","1","23","0","0","26.7","1.9","0.12","0","26.7","0","0"
"3","2","0","0","0","26.4","2","0.12","0","26.4","0","0"
"3","2","1","0","0","26.2","2","0.12","0","26.2","0","0"
"3","2","2","0","0","25.9","2.1","0.12","0","25.9","0","0"
"3","2","3","0","0","25.6","2.1","0.12","0","25.6","0","0"
"3","2","4","0","0","25.6","1","0.12","0","25.6","0","0"
"3","2","5","0","0","25.5","0","0.12","0","25.5","0","0"
"3","2","6","13","11","26.2","0.5","0.12","11.607","26.53","5367.063","816.968"
"3","2","7","424","70","26.9","1","0.12","181.122","32.293","146879.242","137314.807"
"3","2","8","467","129","27.5","1.5","0.12","362.738","37.347","324511.18","308652.539"
"3","2","9","808","147","28.2","2","0.12","716.994","45.663","621750.776","595359.755"
"3","2","10","703","230","28.9","2.6","0.12","836.089","47","712324.626","682724.214"
"3","2","11","625","172","29.6","3.1","0.12","771.982","44.916","661528.61","633728.102"
"3","2","12","546","306","30.2","3.6","0.12","847.992","45.71","719418.912","689567.121"
"3","2","13","703","312","30.9","4.1","0.12","984.982","47.651","830091.753","796318.383"
"3","2","14","755","142","31.6","4.6","0.12","789.478","44.171","683104.108","654539.094"
"3","2","15","616","182","30.6","3.9","0.12","612.685","41.37","538852.451","515398.848"
"3","2","16","666","123","29.6","3.3","0.12","451.219","38.32","404550.209","385855.468"
"3","2","17","501","55","28.6","2.6","0.12","181.851","32.426","144169.038","134700.637"
"3","2","18","54","10","27.9","1.9","0.12","12.323","28.128","4877.565","344.814"
"3","2","19","0","0","27.2","2.2","0.12","0","27.2","0","0"
"3","2","20","0","0","26.5","2.5","0.12","0","26.5","0","0"
"3","2","21","0","0","26.6","2.5","0.12","0","26.6","0","0"
"3","2","22","0","0","26.6","2.4","0.12","0","26.6","0","0"
"3","2","23","0","0","26.7","2.4","0.12","0","26.7","0","0"
"3","3","0","0","0","26.7","2.3","0.12","0","26.7","0","0"
"3","3","1","0","0","26.3","2.2","0.12","0","26.3","0","0"
"3","3","2","0","0","26","2.1","0.12","0","26","0","0"
"3","3","3","0","0","26","1.7","0.12","0","26","0","0"
"3","3","4","0","0","26","1.4","0.12","0","26","0","0"
"3","3","5","0","0","26","1","0.12","0","26","0","0"
"3","3","6","37","13","27","1","0.12","14.687","27.352","6429.676","1841.928"
"3","3","7","252","102","28","1","0.12","167.997","33.048","139788.926","130475.73"
"3","3","8","462","160","29","1","0.12","391.747","40.979","345341.864","328745.11"
"3","3","9","625","247","29","0.9","0.12","688.44","50.537","581727.817","556754.969"
"3","3","10","612","275","29","0.9","0.12","803.296","54.07","662877.281","635028.984"
"3","3","11","731","230","29","0.8","0.12","932.616","58.87","751674.088","720679.368"
"3","3","12","773","252","29","0.8","0.12","1019.854","61.65","809671.705","776621.899"
"3","3","13","735","231","29","0.7","0.12","935.401","59.783","750975.133","720005.179"
"3","3","14","735","213","29","0.7","0.12","843.603","56.8","690174.604","661359.055"
"3","3","15","655","191","29","0.6","0.12","648.902","51.037","548477.717","524683.052"
"3","3","16","563","131","29","0.6","0.12","408.328","42.902","357964.952","340920.912"
"3","3","17","368","80","29","0.5","0.12","172.792","34.897","138679.007","129405.139"
"3","3","18","25","11","28.3","0.5","0.12","12.277","28.642","5413.31","861.576"
"3","3","19","0","0","27.7","0.5","0.12","0","27.7","0","0"
"3","3","20","0","0","27","0.5","0.12","0","27","0","0"
"3","3","21","0","0","26.8","0.5","0.12","0","26.8","0","0"
"3","3","22","0","0","26.7","0.5","0.12","0","26.7","0","0"
"3","3","23","0","0","26.5","0.5","0.12","0","26.5","0","0"
"3","4","0","0","0","26.8","0.5","0.12","0","26.8","0","0"
"3","4","1","0","0","27.2","0.4","0.12","0","27.2","0","0"
"3","4","2","0","0","27.5","0.4","0.12","0","27.5","0","0"
"3","4","3","0","0","27.8","0.3","0.12","0","27.8","0","0"
"3","4","4","0","0","27.9","0.2","0.12","0","27.9","0","0"
"3","4","5","0","0","28.1","0.1","0.12","0","28.1","0","0"
"3","4","6","21","12","28.2","0","0.12","13.105","28.631","5898.415","1329.491"
"3","4","7","184","102","28.6","0","0.12","150.34","34.668","124970.523","116182.402"
"3","4","8","342","183","29","0","0.12","354.704","43.511","307567.438","292309.182"
"3","4","9","340","168","29.4","0.7","0.12","408.838","42.886","353402.961","336520.57"
"3","4","10","703","231","29.8","1.4","0.12","838.793","52.977","696839.199","667787.496"
"3","4","11","554","312","30.2","2","0.12","845.075","50.668","703143.569","673868.478"
"3","4","12","778","218","30.7","2.7","0.12","991.079","51.748","822341.351","788842.609"
"3","4","13","631","270","31.1","3.4","0.12","875.071","47.626","738869.844","708328.829"
"3","4","14","753","222","31.5","4.1","0.12","868.211","46.295","742296.341","711633.911"
"3","4","15","713","151","30.5","3.9","0.12","649.397","41.922","571383.781","546777.463"
"3","4","16","577","132","29.4","3.8","0.12","416","36.84","374116.12","356499.779"
"3","4","17","441","65","28.4","3.6","0.12","176.111","31.547","141271.721","131905.983"
"3","4","18","44","10","28.1","3.7","0.12","11.609","28.26","4725.135","197.786"
"3","4","19","0","0","27.8","3.8","0.12","0","27.8","0","0"
"3","4","20","0","0","27.4","3.8","0.12","0","27.4","0","0"
"3","4","21","0","0","27.1","3.9","0.12","0","27.1","0","0"
"3","4","22","0","0","26.8","4","0.12","0","26.8","0","0"
"3","4","23","0","0","26.5","4.1","0.12","0","26.5","0","0"
"3","5","0","0","0","26.4","3.6","0.12","0","26.4","0","0"
"3","5","1","0","0","26.3","3.1","0.12","0","26.3","0","0"
"3","5","2","0","0","26.2","2.6","0.12","0","26.2","0","0"
"3","5","3","0","0","26","1.7","0.12","0","26","0","0"
"3","5","4","0","0","25.7","0.9","0.12","0","25.7","0","0"
"3","5","5","0","0","25.5","0","0.12","0","25.5","0","0"
"3","5","6","17","15","26.3","0","0.12","15.65","26.821","7358.966","2738.29"
"3","5","7","115","87","27","0","0.12","117.262","31.744","98592.958","90739.498"
"3","5","8","126","219","27.8","0","0.12","281.999","39.311","245144.005","232097.659"
"3","5","9","544","265","29","1.4","0.12","650.603","47","556812.286","532722.294"
"3","5","10","513","228","30.3","2.7","0.12","672.329","44.587","577275.187","552460.113"
"3","5","11","380","393","31.5","4.1","0.12","758.66","44.376","644856.297","617646.556"
"3","5","12","539","342","31.7","4.4","0.12","878.394","46.011","743282.98","712585.59"
"3","5","13","621","293","31.8","4.8","0.12","888.736","45.546","756195.933","725040.986"
"3","5","14","731","230","32","5.1","0.12","857.49","44.794","737427.866","706937.946"
"3","5","15","493","161","30.7","4.8","0.12","505.763","38.555","448635.175","428378.328"
"3","5","16","392","192","29.5","4.4","0.12","384.305","35.802","344651.067","328078.79"
"3","5","17","330","68","28.2","4.1","0.12","150.809","30.713","122170.52","113481.614"
"3","5","18","13","10","27.9","4.4","0.12","10.576","28.041","4810.181","279.818"
"3","5","19","0","0","27.5","4.8","0.12","0","27.5","0","0"
"3","5","20","0","0","27.2","5.1","0.12","0","27.2","0","0"
"3","5","21","0","0","27.1","4.1","0.12","0","27.1","0","0"
"3","5","22","0","0","27","4.6","0.12","0","27","0","0"
"3","5","23","0","0","26.8","4.1","0.12","0","26.8","0","0"
"3","6","0","0","0","26.7","3.8","0.12","0","26.7","0","0"
"3","6","1","0","0","26.5","3.4","0.12","0","26.5","0","0"
"3","6","2","0","0","26.4","3.1","0.12","0","26.4","0","0"
"3","6","3","0","0","26.3","2.8","0.12","0","26.3","0","0"
"3","6","4","0","0","26.1","2.4","0.12","0","26.1","0","0"
"3","6","5","0","0","26","2.1","0.12","0","26","0","0"
"3","6","6","2","18","27.1","2.3","0.12","18.044","27.445","8875.545","4201.13"
"3","6","7","146","102","28.1","2.4","0.12","140.586","31.233","119152.437","110570.474"
"3","6","8","58","200","29.2","2.6","0.12","228.693","34.154","201111.024","189624.942"
"3","6","9","224","378","30","3.4","0.12","536.263","40.128","466289.664","445407.249"
"3","6","10","299","361","30.7","4.3","0.12","619.867","40.938","535356.45","512026.724"
"3","6","11","656","343","31.5","5.1","0.12","975.144","46.016","826295.332","792656.484"
"3","6","12","364","397","31","5.2","0.12","759.241","42.14","650160.79","622763.09"
"3","6","13","488","296","30.4","5.3","0.12","764.594","41.502","660647.687","632878.394"
"3","6","14","529","283","29.9","5.4","0.12","737.177","40.491","642992.788","615849.078"
"3","6","15","165","362","29.4","5.5","0.12","476.502","36.158","419791.609","400556.804"
"3","6","16","136","134","28.8","5.6","0.12","200.525","31.623","178566.404","167879.167"
"3","6","17","44","124","28.3","5.7","0.12","134.46","30.163","116878.167","108376.79"
"3","6","18","0","12","27.9","5.4","0.12","11.952","28.044","5756.225","1192.34"
"3","6","19","0","0","27.6","5.2","0.12","0","27.6","0","0"
"3","6","20","0","0","27.2","4.9","0.12","0","27.2","0","0"
"3","6","21","0","0","26.9","4.6","0.12","0","26.9","0","0"
"3","6","22","0","0","26.5","4.4","0.12","0","26.5","0","0"
"3","6","23","0","0","26.2","4.1","0.12","0","26.2","0","0"
"3","7","0","0","0","25.8","3.1","0.12","0","25.8","0","0"
"3","7","1","0","0","25.4","2","0.12","0","25.4","0","0"
"3","7","2","0","0","25.1","1","0.12","0","25.1","0","0"
"3","7","3","0","0","24.7","0","0.12","0","24.7","0","0"
"3","7","4","0","0","24","0","0.12","0","24","0","0"
"3","7","5","0","0","23.3","0","0.12","0","23.3","0","0"
"3","7","6","26","12","25.4","0","0.12","13.37","25.836","6027.892","1454.381"
"3","7","7","347","98","27.6","0","0.12","190.781","35.256","156508.792","146603.144"
"3","7","8","600","135","29.7","0","0.12","439.211","47.703","378794.685","361012.565"
"3","7","9","501","284","30.6","0.8","0.12","640.364","51.151","537721.968","514308.422"
"3","7","10","803","206","31.4","1.5","0.12","902.975","55.799","741791.701","711147.153"
"3","7","11","825","186","32.3","2.3","0.12","981.927","54.76","806475.377","773538.83"
"3","7","12","735","260","31.8","3","0.12","992.41","51.803","821993.136","788506.732"
"3","7","13","705","261","31.4","3.8","0.12","938.027","48.069","790745.856","758366.667"
"3","7","14","775","176","30.9","4.5","0.12","841.317","44.472","726073.81","695986.21"
"3","7","15","605","125","30.4","4.5","0.12","547.672","39.257","486523.146","464923.778"
"3","7","16","526","151","29.8","4.5","0.12","408.958","36.423","367673.864","350285.798"
"3","7","17","334","69","29.3","4.5","0.12","152.315","31.701","122774.252","114063.953"
"3","7","18","47","10","29","4.1","0.12","11.895","29.153","4774.378","245.284"
"3","7","19","0","0","28.6","3.6","0.12","0","28.6","0","0"
"3","7","20","0","0","28.3","3.2","0.12","0","28.3","0","0"
"3","7","21","0","0","28","2.8","0.12","0","28","0","0"
"3","7","22","0","0","27.6","2.4","0.12","0","27.6","0","0"
"3","7","23","0","0","27.3","2","0.12","0","27.3","0","0"
"3","8","0","0","0","26.9","1.6","0.12","0","26.9","0","0"
"3","8","1","0","0","26.8","1.9","0.12","0","26.8","0","0"
"3","8","2","0","0","26.8","2.3","0.12","0","26.8","0","0"
"3","8","3","0","0","26.7","2.7","0.12","0","26.7","0","0"
"3","8","4","0","0","26.2","2.6","0.12","0","26.2","0","0"
"3","8","5","0","0","25.6","2.6","0.12","0","25.6","0","0"
"3","8","6","11","17","25.1","2.5","0.12","17.565","25.419","8529.139","3866.999"
"3","8","7","162","85","24.5","2.5","0.12","128.426","27.304","109502.391","101262.367"
"3","8","8","314","265","24","2.4","0.12","424.03","33.55","383429.345","365483"
"3","8","9","500","298","23.4","2.4","0.12","654.238","38.104","579589.014","554691.952"
"3","8","10","320","502","22.9","2.3","0.12","779.48","40.675","672831.413","644630.402"
"3","8","11","116","441","22.3","2.3","0.12","552.671","34.866","482379.456","460926.915"
"3","8","12","309","442","23","2.4","0.12","749.962","39.761","646884.309","619602.707"
"3","8","13","394","455","23.6","2.5","0.12","833.127","41.894","714508.971","684831.159"
"3","8","14","613","289","24.3","2.6","0.12","815.333","41.939","707535.703","678104.981"
"3","8","15","500","315","25","2.7","0.12","663.77","39.126","585841.645","560723.027"
"3","8","16","416","170","25.6","2.8","0.12","373.805","33.441","338633.607","322274.553"
"3","8","17","264","92","26.3","2.9","0.12","157.467","29.481","130960.225","121959.865"
"3","8","18","11","10","27","3","0.12","10.486","27.173","4822.861","292.049"
"3","8","19","0","0","27.6","3.1","0.12","0","27.6","0","0"
"3","8","20","0","0","28.3","3.2","0.12","0","28.3","0","0"
"3","8","21","0","0","28","3.4","0.12","0","28","0","0"
"3","8","22","0","0","27.6","3.6","0.12","0","27.6","0","0"
"3","8","23","0","0","27.3","3.8","0.12","0","27.3","0","0"
"3","9","0","0","0","27","2.9","0.12","0","27","0","0"
"3","9","1","0","0","26.8","1.9","0.12","0","26.8","0","0"
"3","9","2","0","0","26.5","1","0.12","0","26.5","0","0"
"3","9","3","0","0","26.2","0","0.12","0","26.2","0","0"
"3","9","4","0","0","26.7","0","0.12","0","26.7","0","0"
"3","9","5","0","0","27.1","0","0.12","0","27.1","0","0"
"3","9","6","1","16","27.6","0","0.12","16","28.145","7805.379","3168.884"
"3","9","7","71","95","28","0","0.12","113.838","32.623","96516.078","88736.211"
"3","9","8","56","223","28.5","0","0.12","250.873","38.73","216949.742","204902.432"
"3","9","9","400","329","29.7","1.8","0.12","614.173","45.239","526766.862","503741.499"
"3","9","10","565","332","30.8","3.7","0.12","823.57","45.656","702287.365","673042.613"
"3","9","11","669","299","32","5.5","0.12","945.813","45.416","804695.255","771821.784"
"3","9","12","685","318","31.4","5.6","0.12","1001.294","45.431","849797.016","815325.41"
"3","9","13","683","291","30.8","5.8","0.12","947.317","43.778","811827.105","778700.924"
"3","9","14","678","269","30.1","5.9","0.12","851.171","41.645","740271.658","709680.971"
"3","9","15","601","231","29.5","6.1","0.12","650.284","38.145","578581.191","553719.84"
"3","9","16","459","171","28.9","6.2","0.12","395.571","34.112","358043.226","340996.412"
"3","9","17","193","93","28.3","6.4","0.12","140.667","30.083","117551.146","109025.922"
"3","9","18","3","10","27.7","6.1","0.12","10.142","27.812","4788.505","258.911"
"3","9","19","0","0","27.1","5.8","0.12","0","27.1","0","0"
"3","9","20","0","0","26.5","5.5","0.12","0","26.5","0","0"
"3","9","21","0","0","26.3","3.7","0.12","0","26.3","0","0"
"3","9","22","0","0","26","1.8","0.12","0","26","0","0"
"3","9","23","0","0","25.8","0","0.12","0","25.8","0","0"
"3","10","0","0","0","25.6","0","0.12","0","25.6","0","0"
"3","10","1","0","0","25.4","0","0.12","0","25.4","0","0"
"3","10","2","0","0","25.2","0","0.12","0","25.2","0","0"
"3","10","3","0","0","25.2","0","0.12","0","25.2","0","0"
"3","10","4","0","0","25.2","0","0.12","0","25.2","0","0"
"3","10","5","0","0","25.2","0","0.12","0","25.2","0","0"
"3","10","6","20","15","26","0.9","0.12","15.999","26.406","7476.478","2851.638"
"3","10","7","139","135","26.8","1.8","0.12","172.293","31.136","148610.977","138985.18"
"3","10","8","147","195","27.6","2.7","0.12","269.684","33.346","240473.827","227592.964"
"3","10","9","192","339","29.2","2.9","0.12","475.754","38.953","414668.282","395615.017"
"3","10","10","319","261","30.8","3","0.12","539.308","41.666","465204.017","444360.07"
"3","10","11","609","297","32.4","3.2","0.12","886.411","49.679","741056.191","710437.705"
"3","10","12","730","266","32.2","4.1","0.12","994.798","49.118","833059.611","799181.078"
"3","10","13","715","310","32.1","5","0.12","997.154","47.137","842068.881","807871.114"
"3","10","14","653","262","31.9","5.9","0.12","822.734","43.059","711593.234","682018.737"
"3","10","15","515","234","31","5.8","0.12","593.179","39.154","524607.543","501658.694"
"3","10","16","380","159","30.2","5.6","0.12","344.757","35.061","309575.198","294245.799"
"3","10","17","238","95","29.3","5.5","0.12","153.599","31.45","127092.79","118229.468"
"3","10","18","12","10","28.5","4.9","0.12","10.505","28.631","4779.614","250.335"
"3","10","19","0","0","27.8","4.2","0.12","0","27.8","0","0"
"3","10","20","0","0","27","3.6","0.12","0","27","0","0"
"3","10","21","0","0","26.9","2.8","0.12","0","26.9","0","0"
"3","10","22","0","0","26.7","2.1","0.12","0","26.7","0","0"
"3","10","23","0","0","26.6","1.3","0.12","0","26.6","0","0"
"3","11","0","0","0","26.5","0.5","0.12","0","26.5","0","0"
"3","11","1","0","0","26.7","1.1","0.12","0","26.7","0","0"
"3","11","2","0","0","26.9","1.6","0.12","0","26.9","0","0"
"3","11","3","0","0","27.1","2.2","0.12","0","27.1","0","0"
"3","11","4","0","0","27.3","2.7","0.12","0","27.3","0","0"
"3","11","5","0","0","27.5","3.3","0.12","0","27.5","0","0"
"3","11","6","1","14","27.7","3.8","0.12","14.009","27.908","6790.294","2189.768"
"3","11","7","35","106","28.3","3.9","0.12","115.186","30.318","99797.631","91901.485"
"3","11","8","105","254","29","4.1","0.12","307.013","34.236","272812.613","258785.858"
"3","11","9","74","330","29.7","4.3","0.12","382.266","36.012","333848.155","317658.669"
"3","11","10","466","427","30.3","4.4","0.12","833.183","43.882","712851.216","683232.144"
"3","11","11","519","336","31","4.6","0.12","838.899","44.309","715760.558","686038.397"
"3","11","12","527","417","31.7","4.8","0.12","943.483","46.269","795332.469","762790.759"
"3","11","13","507","375","32.3","4.9","0.12","862.587","45.458","731746.747","701458.131"
"3","11","14","516","403","33","5.1","0.12","845.736","45.593","719897.262","690028.521"
"3","11","15","465","264","31.8","5.3","0.12","588.116","40.37","516566.984","493903.043"
"3","11","16","275","188","30.6","5.5","0.12","321.997","35.189","287468.417","272922.349"
"3","11","17","109","86","29.4","5.7","0.12","112.613","30.95","94341.985","86639.155"
"3","11","18","2","9","28","5.1","0.12","9.073","28.113","4263.807","0"
"3","11","19","0","0","27","6.7","0.12","0","27","0","0"
"3","11","20","0","0","27.2","6.2","0.12","0","27.2","0","0"
"3","11","21","0","0","27.3","5.8","0.12","0","27.3","0","0"
"3","11","22","0","0","27.4","5.3","0.12","0","27.4","0","0"
"3","11","23","0","0","27.5","4.9","0.12","0","27.5","0","0"
"3","12","0","0","0","27.6","4.5","0.12","0","27.6","0","0"
"3","12","1","0","0","27.7","4","0.12","0","27.7","0","0"
"3","12","2","0","0","27.9","3.6","0.12","0","27.9","0","0"
"3","12","3","0","0","28","3.2","0.12","0","28","0","0"
"3","12","4","0","0","28.1","2.8","0.12","0","28.1","0","0"
"3","12","5","0","0","28.2","2.3","0.12","0","28.2","0","0"
"3","12","6","5","14","28.3","1.9","0.12","14.29","28.594","6824.158","2222.432"
"3","12","7","144","101","28.8","2.7","0.12","140.192","31.76","118814.269","110244.289"
"3","12","8","333","186","29.2","3.6","0.12","356.636","35.766","319616.062","303930.876"
"3","12","9","342","290","29.6","4.5","0.12","535.186","38.226","471493.867","450427.046"
"3","12","10","616","258","30.1","5.3","0.12","796.068","41.681","691848.896","662974.02"
"3","12","11","397","220","30.5","6.2","0.12","605.25","38.424","529304.629","506189.342"
"3","12","12","727","245","31.2","6","0.12","971.605","44.214","830956.127","797152.128"
"3","12","13","687","273","31.9","5.9","0.12","933.705","44.549","798236.182","765591.582"
"3","12","14","728","214","32.6","5.7","0.12","838.944","44.25","723620.73","693620.051"
"3","12","15","662","175","31.4","5.2","0.12","636.232","40.801","561632.587","537371.793"
"3","12","16","461","151","30.1","4.6","0.12","375.638","36.101","337090.711","320786.328"
"3","12","17","319","74","28.9","4.1","0.12","152.184","31.436","122947.29","114230.859"
"3","12","18","18","9","27.7","3.6","0.12","9.823","27.845","4351.684","0"
"3","12","19","0","0","27.3","3.4","0.12","0","27.3","0","0"
"3","12","20","0","0","26.9","3.3","0.12","0","26.9","0","0"
"3","12","21","0","0","27","2.6","0.12","0","27","0","0"
"3","12","22","0","0","27.1","1.8","0.12","0","27.1","0","0"
"3","12","23","0","0","27.2","1.1","0.12","0","27.2","0","0"
"3","13","0","0","0","27.3","0.3","0.12","0","27.3","0","0"
"3","13","1","0","0","27.2","0.2","0.12","0","27.2","0","0"
"3","13","2","0","0","27","0","0.12","0","27","0","0"
"3","13","3","0","0","27","0","0.12","0","27","0","0"
"3","13","4","0","0","27","0","0.12","0","27","0","0"
"3","13","5","0","0","27","0","0.12","0","27","0","0"
"3","13","6","19","14","27.7","0.6","0.12","15.073","28.115","6943.298","2337.351"
"3","13","7","327","99","28.3","1.1","0.12","188.965","33.833","156898.428","146978.974"
